;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
57;10997;Berlin;Berlin;10694;1.62;6601.23;43.0;Bezirk Friedrichshain-Kreuzberg, Kreuzberg, Wrangelkiez;52.50331400683108;13.438581638359194
58;10999;Berlin;Berlin;10670;1.401;7615.99;43.0;Bezirk Friedrichshain-Kreuzberg, Kreuzberg;52.49889046000184;13.430789783517058
59;12043;Berlin;Berlin;5167;0.701;7370.9;43.0;Bezirk Neukölln, Karl-Marx-Straße, Neukölln;52.48206329061888;13.442027591388651
60;12045;Berlin;Berlin;3308;0.586;5645.05;43.0;Bezirk Neukölln, Reuterkiez;52.48798947271501;13.441465345514182
61;12047;Berlin;Berlin;3756;0.502;7482.07;43.0;Bezirk Neukölln, Reuterkiez;52.49299873460456;13.431008910601062
62;12049;Berlin;Berlin;5550;0.877;6328.39;43.0;Bezirk Neukölln, Schillerkiez;52.47991177542267;13.42422612220209
63;12051;Berlin;Berlin;12734;1.966;6477.11;43.0;Bezirk Neukölln, Karl-Marx-Straße, Schillerkiez;52.46999374471687;13.43270652829411
64;12053;Berlin;Berlin;7389;0.957;7721.0;43.0;Bezirk Neukölln, Karl-Marx-Straße, Neukölln;52.48039059579867;13.434752986933672
65;12055;Berlin;Berlin;2869;0.504;5692.46;43.0;Bezirk Neukölln, Böhmisches Dorf;52.47522168639723;13.45156811573358
66;12057;Berlin;Berlin;23785;3.665;6489.77;43.0;Bezirk Neukölln, Köllnische Heide;52.47119519031958;13.465287131063784
67;12059;Berlin;Berlin;8496;1.115;7619.73;43.0;Bezirk Neukölln, Neukölln;52.484474707737895;13.453708473594675
68;12099;Berlin;Berlin;23429;3.826;6123.63;43.0;Alt-Tempelhof, Bezirk Tempelhof-Schöneberg, Tempelhof;52.461826320845766;13.405508170111998
69;12101;Berlin;Berlin;21628;5.4;4005.19;43.0;Bezirk Tempelhof-Schöneberg, Tempelhof;52.47769632539565;13.394751159497968
70;12103;Berlin;Berlin;18752;2.828;6630.83;43.0;Alt-Tempelhof, Bezirk Tempelhof-Schöneberg;52.46486857812993;13.375206220583442
